project,mw,capex_musd,capex_type,constr_peak_workers,ops_jobs,blended_jobs,source,page,quote,constr_peak_per_musd,ops_per_musd,blended_per_musd,capex_musd_per_mw,constr_workers_per_mw,ops_per_mw
Meta Richland Parish (LA),2000,10000,total_investment,5000.0,500.0,,"Hamm Institute (2025), Appendix A1",p.8 (PDF p.9),"2,000 MW capacity, 5,000+ peak construction workers = 2.5 jobs/MW; ~2,000 MW campus with 500+ operational jobs, $10B investment = 0.25 job/MW",0.5,0.05,,5.0,2.5,0.25
Amazon Project Rainier (IN),2200,11000,total_investment,,,1000.0,"Hamm Institute (2025), Appendix A1",p.8 (PDF p.9),"2,200 MW capacity, $11 billion project with 1,000+ construction and operations jobs (used as secondary; not separated)",,,0.09090909090909091,5.0,,
Meta Montgomery (AL),120,800,total_investment,,100.0,,"Hamm Institute (2025), Appendix A1",p.8 (PDF p.9),$800 million AI-optimized data center expected to support 100 operational jobs; ~120 MW = 0.83 job/MW,,0.125,,6.666666666666667,,0.8333333333333334
Google Jackson County (AL),100,600,total_investment,,100.0,,"Hamm Institute (2025), Appendix A1",p.8-9 (PDF p.9-10),$600 million data center expected to create ~100 full-time jobs when operational; ~100 MW = 1 job/MW (upper-bound; may include non-O&M roles),,0.16666666666666666,,6.0,,1.0
