doi,status,title,year,url
10.1016/j.jtrangeo.2019.01.004,verified,Exploring the spatial variation of ridesourcing demand and its relationship to built environment and socioeconomic factors with the geographically weighted Poisson regression,2019,https://doi.org/10.1016/j.jtrangeo.2019.01.004
10.1017/s0143814x1700008x,invalid,,,
10.1088/1748-9326/abfba1,verified,The environmental footprint of data centers in the United States,2021,https://doi.org/10.1088/1748-9326/abfba1
10.1093/qje/qjt034,verified,"Local Economic Development, Agglomeration Economies, and the Big Push: 100 Years of Evidence from the Tennessee Valley Authority *",2013,https://doi.org/10.1093/qje/qjt034
10.1126/science.aba3758,verified,Recalibrating global data center energy-use estimates,2020,https://doi.org/10.1126/science.aba3758
10.1177/0143831x18777615,invalid,,,
10.1177/0891242413479140,verified,Business Incentive Adoption in the Recession,2013,https://doi.org/10.1177/0891242413479140
10.1177/2053951718820549,verified,"When data is capital: Datafication, accumulation, and           extraction",2019,https://doi.org/10.1177/2053951718820549
10.1257/jep.34.2.90,verified,Evaluating State and Local Business Incentives,2020,https://doi.org/10.1257/jep.34.2.90
10.3886/icpsr00034,verified,"Comparative Socio-Economic, Public Policy, and Political Data,1900-1960",1984,https://doi.org/10.3886/icpsr00034
10.5194/gmd-12-1443-2019,verified,Global emissions pathways under different socioeconomic scenarios for use in CMIP6: a dataset of harmonized emissions trajectories through the end of the century,2019,https://doi.org/10.5194/gmd-12-1443-2019
10.5255/ukda-sn-7553-14,invalid,,,
