doi,status,title,year,url
10.1016/j.econedurev.2018.09.001,verified,The economic impact of universities: Evidence from across the globe,2019,https://doi.org/10.1016/j.econedurev.2018.09.001
10.1016/j.econmod.2016.11.012,verified,"Green versus brown: Comparing the employment impacts of energy efficiency, renewable energy, and fossil fuels using an input-output model",2017,https://doi.org/10.1016/j.econmod.2016.11.012
10.1016/j.jmacro.2016.07.005,verified,The macroeconomic effects of public investment: Evidence from advanced economies,2016,https://doi.org/10.1016/j.jmacro.2016.07.005
10.1257/jep.32.1.3,verified,The Economic Implications of Housing Supply,2018,https://doi.org/10.1257/jep.32.1.3
10.1257/pol.20150371,invalid,,,
10.1285/i20705948v15n3p646,invalid,,,
10.17632/yf9jppy5h4,invalid,,,
10.3386/w16759,verified,Did the Stimulus Stimulate? Real Time Estimates of the Effects of the American Recovery and Reinvestment Act,2011,https://doi.org/10.3386/w16759
10.3386/w27625,verified,The Macroeconomic Consequences of Infrastructure Investment,2020,https://doi.org/10.3386/w27625
10.3886/icpsr00034,verified,"Comparative Socio-Economic, Public Policy, and Political Data,1900-1960",1984,https://doi.org/10.3886/icpsr00034
10.4232/1.14731,invalid,,,
10.5255/ukda-sn-7553-14,invalid,,,
10.5281/zenodo.17729852,invalid,,,
10.5281/zenodo.20721171,invalid,,,
10.5281/zenodo.21024220,invalid,,,
10.5281/zenodo.21127920,invalid,,,
