doi,status,title,year,url
10.1016/j.buildenv.2019.106282,verified,Neural networks for metamodelling the hygrothermal behaviour of building components,2019,https://doi.org/10.1016/j.buildenv.2019.106282
10.1016/j.enpol.2009.10.044,verified,Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US?,2010,https://doi.org/10.1016/j.enpol.2009.10.044
10.1016/j.geoforum.2020.07.002,verified,Is automation stealing manufacturing jobs? Evidence from South Africa’s apparel industry,2020,https://doi.org/10.1016/j.geoforum.2020.07.002
10.1016/j.jobe.2022.104257,verified,Properties and durability of partially replaced cement-based composite mortars co-using powders of a nanosilica superplasticiser and finely ground plastic waste,2022,https://doi.org/10.1016/j.jobe.2022.104257
10.1016/j.jtrangeo.2003.12.004,verified,The transport geography of logistics and freight distribution,2004,https://doi.org/10.1016/j.jtrangeo.2003.12.004
10.1080/09613218.2019.1669009,verified,Critical success factors for modular integrated construction projects: a review,2019,https://doi.org/10.1080/09613218.2019.1669009
10.1086/705716,verified,Robots and Jobs: Evidence from US Labor Markets,2020,https://doi.org/10.1086/705716
10.1108/14714170910931552,verified,"Drivers, constraints and the future of offsite manufacture in Australia",2009,https://doi.org/10.1108/14714170910931552
10.5281/zenodo.17729852,invalid,,,
10.5281/zenodo.18327825,invalid,,,
10.5281/zenodo.20630461,invalid,,,
